,Id,Users,Comments
0,u_ps_fetchstream_3_3_2,Sinead Conaghan,Rest in peace to all the lovely children of God. Hear our plea oh lord and have mercy on us.. amen 🙏
1,u_ps_fetchstream_3_3_2,Albert De la Cruz,Lord Have Mercy cure the sick and Grant eternal rest for those who passed  away and Through your Most Sacred Heart we beg to stop these virus Amen!
2,u_ps_fetchstream_3_3_2,Evah Thembo-Munyi,God have mercy on Italy. May the souls of the deceased rest in eternal peace. Amen
3,u_ps_fetchstream_3_3_2,Nancy Maher,May their souls rest in eternal peace 🙏 prayers and strength for their families in these very dark and difficult times 🙏🙏🙏
4,u_ps_fetchstream_3_3_2,Dessy Dimaano Encinas,May their soul rest in peace... Lord have mercy on us and on the whole world..
5,u_ps_fetchstream_3_3_2,Feng P Ollides,Eternal rest grant unto them Oh Lord... Lord have mercy on us and in the whole world..
6,u_ps_fetchstream_3_3_2,Judith Jabal,eternal rest grant unto them O Lord and let perpetual light shine upon them. may they rest in peace...Lord God   have mercy on us
7,u_ps_fetchstream_3_3_2,Lynette Desphy,"Lord heal all who are infected with these dreadful covid 19 and keep safe all doctors,nurses and all front liners. This we ask in Jesus name, anen"
8,u_ps_fetchstream_3_3_2,Espina Dionne,May Your perpetual light shines upon them Lord and eternal rest  grant unto them. Amen.
9,u_ps_fetchstream_3_3_2,Jemmy Makau,"So sad...may they rest in peace,God have mercy"
10,u_ps_fetchstream_3_3_2,Salome Agudelo,LORD heal Italy and whole world May the souls of the departed rest inpeace AMEN
11,u_ps_fetchstream_3_3_2,Evelyn E Giva,May they rest in peace. Divine Mercy Eternal God Have Mercy on for their souls.
12,u_ps_fetchstream_3_3_2,Juvy Fiel,May the loving Lord bring.  them   to the eternal life amen+ + + ++++++++++++++++++++
13,u_ps_fetchstream_3_3_2,Anesia Massengill,"We Pray For ITALY, REST IN PEACE."
14,u_ps_fetchstream_3_3_2,Eunice Abbah,"May God have mercy on us and deliver us from Corona virus Amen, and may there souls RIP Amen"
15,u_ps_fetchstream_3_3_2,Bettina Zaragosa,May eternal rest grant unto them. Amen
16,u_ps_fetchstream_3_3_2,Myrna Escriba Willis,Lord.may their souls rest in peace.Amen
17,u_ps_fetchstream_3_3_2,Mah Fidelia,"Lord have Mercy on your people and direct scientists to discover the cure for this deadly disease, in the Lord we trust."
18,u_ps_fetchstream_3_3_2,Ubong Udoh,"May God have mercy on Italy, and also grant perpetual help to does that have pass on because of the covid19 virus"
19,u_ps_fetchstream_3_3_2,D Best D Best,Amen Amen Amen Amen Amen Amen Amen Jesus Jesus Jesus Jesus Christ please arise and save us from corona virus please my father in heaven amen
20,u_ps_fetchstream_3_3_2,Lolita Borillo,"Forgive our sins oh Lord, have mercy cover the whole world with your everlasting love."
21,u_ps_fetchstream_3_3_2,Cherry Luz Vallo,May all their souls rest in peace.
22,u_ps_fetchstream_3_3_2,Lola Angela Gonzales,Lord receive their souls ..heal Italy
23,u_ps_fetchstream_3_3_2,Corazon Manahan,May all rest in peace with the Lord. ±
24,u_ps_fetchstream_3_3_2,Baby Florendo,Rest in Peace..
25,u_ps_fetchstream_3_3_2,Lennie Jamito,May they rest in Peace 🙏🙏🙏
26,u_ps_fetchstream_3_3_2,Jesse M. Sinio,Jesus i pray for them victims of wuhan virus in italy. Amen
